Author,PublicationYear,CountPubs
"ALEKSASHIN, NIKOLAY A",2019,1
"ALERITSCH, BENJAMIN",2019,1
"ALEX, AMAL",2019,1
"ALEXANDER, JAMES L",2017,1
"ALEXANDER, REBECCA",2018,1
"ALEXANDER, WILLIAM G",2016,1
"ALEXANDER, WILLIAM G",2017,1
"ALEXANDROV, KIRILL",2017,2
"ALEXANDROV, KIRILL",2020,1
"AL-GHANIM, KHALID A",2017,1
"AL-HAJ, L",2016,1
"AL-HAJ, LAMYA",2016,1
"AL-HASANI, HADI",2020,1
"ALHAZMI, ANWAR",2020,1
"ALI, SAJID",2020,1
"ALI, SIMAK",2017,1
"ALIBEKOVA, MARIIA",2020,1
"ALIBHAI, DOMINIC",2017,1
"ALIOTO, SALVATORE L",2020,1
"ALISSANDRATOS, APOSTOLOS",2019,2
"ALIZADEH, ADEL MIRZA",2018,1
"ALIZADEH, MATIN",2018,1
"ALKHALAF, L M",2016,1
"ALKIM, CEREN",2019,1
"ALLAN, TYLER",2019,1
"ALLEMANN, RUDOLF K",2016,1
"ALLEMANN, RUDOLF K",2018,1
"ALLEN, A'LESTER C",2018,2
"ALLEN, CAITILYN",2016,1
"ALLEN, KAITLIN",2016,1
"ALLEN, MICHAEL J",2018,1
"ALLEN, MOLLY",2018,1
"ALLEN, PETER B",2017,1
"ALLEN, ROBERT S",2016,1
"ALLEN-BENTON, MAXWELL",2019,1
"ALLGÃƒÆ’Ã‚Â¶WER, FRANK",2016,1
"ALLGEYER, EDWARD S",2016,1
"ALLIS, C DAVID",2019,1
"ALLISON, TIMOTHY M",2019,1
"ALM, ERIC J",2017,1
"ALMÃƒÆ’Ã‚Â©CIGA-DÃƒÆ’Ã‚Â­AZ, CARLOS J",2016,1
"ALMAGRO, LORENA",2020,1
"ALMEKIAS-SIEGL, EFRAT",2016,1
"ALMENDRO-VEDIA, VICTOR G",2017,1
"ALON, DAN M",2020,1
"ALONSO, ANTONIO A",2017,1
"ALONSO-GUTIERREZ, JORGE",2017,1
"ALPER, HAL S",2016,3
"ALPER, HAL S",2017,5
"ALPER, HAL S",2018,5
"ALPER, HAL S",2019,3
"ALPER, HAL S",2020,1
"ALPEROVICH, NINA",2017,1
"ALPERSTEIN, LUCIEN",2019,1
"ALPHEY, AND LUKE",2016,1
"ALPHEY, LUKE",2016,1
"ALSAFAR, HABIBA",2018,1
"ALSEEKH, SALEH",2018,1
"ALTAMIRANO, CLAUDIA",2019,1
"ALTAMURA, EMILIANO",2017,3
"ALTAY, YIGIT",2019,1
"ALTERI, CHRISTOPHER J",2019,1
"ALTEROVITZ, GIL",2016,2
"ALTEROVITZ, GIL",2019,1
"ALTES, GISELA",2017,1
"ALTO, BARRY W",2017,1
"ALTO, BARRY W",2018,1
"ALTPETER, FREDY",2016,1
"ALVAREZ, CONSUELO J",2016,1
"ALVAREZ, THABATA M",2017,1
"ALVAREZ-GONZALEZ, GUADALUPE",2019,1
"ALVER, BONNIE",2016,1
"ALVES, ANA CATARINA",2018,1
"ALVES, CHRISTINA S",2018,1
"ALVES, LUANA DE FATIMA",2018,2
"ALVES, NATHAN J",2016,1
"ALVES, RUI",2017,1
"AL-ZOUBI, OMAR",2016,1
"AMADOR-NOGUEZ, DANIEL",2018,1
"AMANO, KOHEI",2019,1
"AMAR, PATRICK",2018,1
"AMARA, ADAM",2018,1
"AMARA, ADAM",2020,1
"AMARELLE, VANESA",2019,1
"AMATO, FRANCESCO",2016,1
"AMATO, GEORGE",2017,1
"AMBIA, JOAQUIN",2016,1
"AMBRI, FRANCESCA",2017,1
"AMBRI, FRANCESCA",2019,1
"AMEENULLAH, MUHAMMAD",2020,1
"AMELOOT, PAUL",2020,1
"AMER, BRENDAN R",2020,1
"AMES, TYLER D",2016,1
"AMETA, SANDEEP",2018,1
"AMEYAW, BELINDA",2018,1
"AMIKURA, KAZUAKI",2018,2
"AMIKURA, KAZUAKI",2019,1
"AMIKURA, KAZUAKI",2020,1
"AMIN, SARA A",2018,1
"AMIR-ZILBERSTEIN, LIAT",2017,1
"AMIT, ROEE",2017,1
"AMIT, ROEE",2018,1
"AMOR, DANIEL R",2017,1
"AMORE, ANTONELLA",2020,1
"AMOS, MARTYN",2016,1
"AMOS, MARTYN",2018,1
"AMOS, MARTYN",2019,1
"AMOUTZIAS, GRIGORIS D",2016,2
"AMROFELL, MATTHEW B",2020,1
"AMTHOR, JEFFREY S",2017,1
"AMTHOR, JEFFREY S",2018,1
"AMTMANN, ANNA",2018,1
"AN, BOLIN",2018,1
"AN, DUO",2016,1
"AN, NING",2016,2
"AN, TIANYUE",2019,1
"AN, TIANYUE",2020,1
"AN, WEIWEI",2019,1
"AN, XINGJUAN",2017,1
"AN, XINGJUAN",2018,1
"AN, YAFEI",2020,1
"AN-ADIREKKUN, JIDAPAS MY",2019,1
"ANÃƒÆ’Ã‚Â©, JEAN-MICHEL",2016,1
"ANANDHARAJ, MARIMUTHU",2020,1
"ANANIADOU, SOPHIA",2017,1
"ANANTHAKRISHNAN, ASHWIN",2017,1
"ANANYEV, GENNADY",2018,1
"ANAVY, LEON",2017,1
"ANCONA, MARIO G",2017,2
"ANCONA, MARIO G",2018,1
"ANCONA, MARIO G",2019,1
"ANDERLUH, GREGOR",2017,1
"ANDERLUH, GREGOR",2020,1
"ANDERS, ALEXANDER",2018,1
"ANDERSEN, EBBE S",2016,1
"ANDERSEN, EBBE S",2017,1
"ANDERSEN, JOAKIM M",2020,1
"ANDERSEN, MIKAEL RUERDAM",2016,1
"ANDERSEN, MIKAEL RUERDAM",2018,1
"ANDERSEN, MIKAEL RUERDAM",2019,1
"ANDERSEN-RANBERG, JOHAN",2017,1
"ANDERSON, DAVID F",2018,1
"ANDERSON, GEORGE P",2018,1
"ANDERSON, J L ROSS",2018,1
"ANDERSON, KIM C",2016,1
"ANDERSON, LISA A",2018,1
"ANDERSON, MARY",2018,1
"ANDERSSON, ANNE-MARIE C",2018,1
"ANDO, DAVID",2017,2
"ANDO, DAVID",2018,1
"ANDO, HIROKI",2016,1
"ANDO, HIROKI",2017,1
"ANDO, HIROKI",2020,1
"ANDOLFO, GIUSEPPE",2016,1
"ANDRADE, JOSE S",2019,1
"ANDRADE, LUIZA",2017,1
"ANDRAS, PETER",2018,1
"ANDRE, ISABELLE",2017,2
"ANDREADELLI, AGGELIKI",2017,1
"ANDREASSON, JOHAN O L",2019,1
"ANDREOU, ANDREAS I",2017,1
"ANDRES, JENNIFER",2018,1
"ANDRESEN, THOMAS L",2019,1
"ANDREU-VILARROIG, CARLOS",2019,1
"ANDREW, COLIN R",2016,1
"ANDREWS, LAUREN B",2017,1
"ANDRIANANTOANDRO, ERNESTO",2017,1
"ANDRIES, OLIWIA",2017,1
"ANE, JEAN-MICHEL",2019,1
"ANESI, ANDREA",2019,1
"ANG, EE LUI",2016,1
"ANG, EE LUI",2017,4
"ANG, EE LUI",2019,2
"ANG, EE LUI",2020,1
"ANG, KOK SIONG",2016,2
"ANGEL, ANDREW",2018,1
"ANGELERI, M",2018,1
"ANGELICI, BARTOLOMEO",2016,1
"ANGENENT, LARGUS T",2020,1
"ANGERMAYR, S ANDREAS",2016,1
"ANGIONE, CLAUDIO",2020,1
"ANISSIMOVA, MACHA",2018,1
"ANNUNZIATA, FABIO",2016,1
"ANNUNZIATA, FABIO",2017,1
"ANNUNZIATA, FRANCESCO",2018,1
"ANSARI, ASEEM Z",2019,1
"ANSERMET, FRANÃƒÆ’Ã‚Â§OIS",2016,1
"ANSLYN, ERIC V",2018,1
"ANTHONY, WINSTON E",2019,1
"ANTIPOV, EUGENE",2016,1
"ANTOINE, JUAN",2017,1
"ANTOINE, MATHIAS",2016,1
"ANTONI, CHRISTIANE H",2017,1
"ANTONIOU, AYIS",2017,1
"ANTONOVSKY, NIV",2019,1
"ANTUNES, MAURICIO S",2018,1
"ANTWI, ENOCH B",2019,1
"ANWAR, FARHAN",2018,1
"AO, XIANG",2018,1
"APARICIO, TOMAS",2016,1
"APARICIO, TOMAS",2019,3
"APAYDIN, ONUR",2018,1
"APEL, ALEXANDER KRISTIAN",2017,1
"APER, STIJN J A",2018,1
"APJOK, GÃƒÆ’Ã‚Â¡BOR",2016,1
"APOSTOLAKI, MARIA",2017,1
"APPELHANS, DIETMAR",2017,2
"APPELHANS, DIETMAR",2018,1
"APPELHANS, DIETMAR",2019,1
"APPERT, DONAT",2019,1
"APPLEBOIM, ALON",2017,1
"APPLETON, EVAN",2017,2
"APPLETON, EVAN",2020,1
"APURA, PATRICIA",2019,1
"APURVA, DIVYANSH",2017,1
"ARABOLAZA, ANA",2018,1
"ARACIC, SANJA",2016,2
"ARAI, FUMIHITO",2020,1
"ARAI, RYOICHI",2018,1
"ARANGO GIRALDO, MÃƒÆ’Ã‚Â©LISSA",2016,1
"ARAUJO ALMEIDA, ADRIANA",2017,1
"ARAUJO, ANA P U",2016,1
"ARAVA, YOAV",2017,1
"ARBER, CAROLINE",2017,1
"ARBER, CAROLINE",2020,1
"ARCAK, MURAT",2017,1
"ARCAK, MURAT",2018,1
"ARCAK, MURAT",2019,1
"ARCHER, JOHN",2017,1
"ARDEJANI, MAZIAR S",2017,1
"ARDUINO, DANIELA M",2018,1
"ARENDT, PHILIPP",2016,2
"AREVALO-FERRO, CATALINA",2017,1
"ARGANI, HASSAN",2019,1
"ARIANA, MEHDI",2018,1
"ARICETTI, JULIANA A",2017,1
"ARIF, BASIL M",2017,1
"ARKILL, K P",2017,1
"ARKIN, ADAM PAUL",2016,3
"ARKIN, ADAM PAUL",2018,2
"ARKIN, ADAM PAUL",2020,1
"ARMITAGE, JUDITH P",2017,1
"ARNALL, CLAIRE L",2018,1
"ARNASON, GARDAR",2017,1
"ARNAUT, VERA",2016,1
"ARNDT, KATJA M",2018,1
"ARNESEN, JONATHAN A",2018,1
"ARNOLD, CARRIE",2016,1
"ARNOLD, FRANCES H",2017,1
"ARNOLD, FRANCES H",2018,1
"ARNOLD, JASON W",2016,1
"ARNOLD, KATELYN",2020,1
"ARNONE, JAMES T",2020,1
"ARNOTT, PATRICK M",2018,1
"ARO, E-M",2018,1
"ARONOFF-SPENCER, ELIAH",2016,1
"ARPAIA, NICHOLAS",2018,1
"ARPAIA, NICHOLAS",2019,1
"ARPINO, JAMES A J",2020,1
"ARRABITO, GIUSEPPE",2019,1
"ARRAIANO, CECILIA M",2019,1
"ARRIVAULT, STEPHANIE",2018,1
"ARROO, RANDOLPH",2018,1
"ARRUDA, LETICIA MAGALHAES",2017,1
"ARSOVSKA, DUSHICA",2016,1
"ARTER, MERET",2016,1
"ARTHUR, LAURA L",2016,1
"ARTILES, KAREN L",2018,1
"ARVAY, ERIKA",2019,1
"ARYA, SAGAR S",2020,1
"ARZUMANYAN, GARRI A",2018,1
"ASAI, KIYOSHI",2016,1
"ASAI, TEIGO",2019,1
"ASAI, TEIGO",2020,2
"ASALLY, MUNEHIRO",2020,1
"ASANOMA, KAZUO",2019,1
"ASCUE AVALOS, GABRIEL A",2018,1
"ASHBY, PAUL D",2018,1
"ASHRAF, MUHAMMAD UMER FAROOQ",2019,1
"ASHRAF, NOREEN",2018,1
"ASHRAF, TAYYBA",2018,1
"ASIF, AMINA",2019,1
"ASIN-GARCIA, ENRIQUE",2020,1
"ASLAN, SELCUK",2019,3
"ASOKAN, ARAVIND",2016,1
"ASPURU-GUZIK, ALAN",2020,1
"ASRAF, OMER",2016,1
"ATA, HIROTAKA",2016,1
"ATALLAH, CHRISTIAN",2018,1
"ATALLAH, CHRISTIAN",2019,1
"ATAMAN, MERIC",2016,1
"ATAMAN, MERIC",2018,1
"ATANASSOVA, ANA",2020,1
"ATAR, ORNA",2017,1
"ATAR, ORNA",2018,1
"ATHANASAKOGLOU, ANASTASIA",2016,1
"ATHANASAKOGLOU, ANASTASIA",2017,1
"ATITEY, KOMLAN",2018,1
"ATKINSON, JOSHUA T",2016,1
"ATKINSON, JOSHUA T",2018,1
"ATKINSON, JOSHUA T",2019,1
"ATOLIA, ETA",2016,1
"ATSUMI, SHOTA",2016,2
"ATTAF, MERIEM",2016,1
"AUBEL, DOMINIQUE",2017,1
"AUBEL, DOMINIQUE",2019,1
"AUBERT, ALICE",2016,1
"AUBIN-TAM, MARIE-EVE",2019,1
"AUBREY, K L",2018,1
"AUBRY, CELINE",2019,1
"AUBRY, SYLVAIN",2019,1
"AUER, MANFRED",2017,1
"AUERBACH, JOSHUA E",2016,1
"AUFDEMBRINK, LAUREN M",2020,1
"AUFFINGER, PASCAL",2018,1
"AUFINGER, L",2016,1
"AUFINGER, LUKAS",2019,1
"AUGUSTIN, MAXIMILIAN",2016,1
"AULICINO, FRANCESCO",2018,1
"AUPIÃƒâ€žÃ¯Â¿Â½, JANA",2019,1
"AURIOL, CLEMENT",2017,1
"AUROY, PASCALINE",2018,1
"AUSLANDER, DAVID",2016,2
"AUSLANDER, DAVID",2017,2
"AUSLANDER, SIMON",2016,2
"AUSLANDER, SIMON",2017,2
"AUSSIGNARGUES, CLEMENT",2018,1
"AUXI, JUAN",2017,1
"AUXILLOS, JAMIE Y",2017,1
"AUXILLOS, JAMIE Y",2018,1
"AUXILLOS, JAMIE Y",2019,1
"AVALOS, JOSE L",2018,1
"AVCILAR-KUCUKGOZE, IREM",2016,2
"AVERESCH, NILS J H",2016,1
"AVERESCH, NILS J H",2017,1
"AVERESCH, NILS J H",2019,1
"AVERY, MICHAEL",2016,1
"AVIGNONE-ROSSA, CLAUDIO",2016,1
"AVILA IBARRA, AMAURYS",2018,1
"AVIZEMER, ZIV",2018,1
"AW, ROCHELLE",2018,2
"AW, ROCHELLE",2019,1
"AW, ROCHELLE",2020,1
"AWAN, ALI R",2016,1
"AWAN, ALI R",2017,1
"AWAN, KAMRAN HABIB",2020,1
"AWEL, SALAH",2019,1
"AXMANN, ILKA M",2018,2
"AXMANN, ILKA M",2019,1
"AXMANN, ILKA M",2020,1
"AYAD, LEÃƒÆ’Ã‚Â¯LA",2016,1
"AYAKAR, SONAL R",2018,1
"AYALA, YUNA M",2020,1
"AYE, SEAIM LWIN",2018,1
"AYMOZ, DELPHINE",2016,1
"AYOUBI-JOSHAGHANI, MOHAMMAD H",2019,1
"AYUKAWA, SHOTARO",2016,1
"AYUKAWA, SHOTARO",2018,1
"AZADI, PARASTOO",2019,1
"AZCARATE-PERIL, M ANDREA",2016,1
"AZEMA, LAURENT",2017,1
"AZEREDO, JOANA",2017,1
"AZEREDO, JOANA",2018,2
"AZEVEDO, FLAVIO",2016,1
"AZEVEDO, FLAVIO",2017,1
"AZEVEDO, V F",2019,1
"AZEVEDO, VASCO",2017,1
"AZIM, TASFIA",2019,1
"AZIMI, CAMILLIA S",2019,1
"AZIZOGLU, ASLI",2019,1
"AZNAR, AUDE",2017,1
"AZNAR, AUDE",2018,1
"AZNAR, JUSTO",2017,1
"AZNAR-MORENO, JOSE A",2017,1
"AZUMA, YUSUKE",2017,1
"AZUMA, YUSUKE",2018,2
"BAATSEN, PIETER",2019,1
"BABB, JONATHAN",2016,1
"BABEL, PHILIPP",2016,1
"BABELE, PIYOOSH KUMAR",2019,1
"BABY, VINCENT",2016,2
"BABY, VINCENT",2019,2
"BACCHI, MARINE",2016,1
"BACHAND, GEORGE D",2016,1
"BACHMANN, BARBARA EVA MARIA",2019,1
"BACHMANN, BRIAN O",2019,1
"BACHMANN, TILL T",2019,1
"BACHMANN, TILL T",2020,1
"BACK, ALEXANDRE",2017,1
"BACKHAUS, KATJA",2017,1
"BACKMAN, TYLER W H",2017,3
"BACKMAN, TYLER W H",2019,1
"BACKOFEN, ROLF",2017,1
"BACKUS, KERIANN M",2016,1
"BADELT, STEFAN",2016,1
"BADENHORST, CHRISTOFFEL P S",2017,1
"BADER, GARY D",2016,1
"BADER, GARY D",2018,1
"BADER, GARY D",2019,1
"BADER, JOEL S",2016,7
"BADER, JOEL S",2017,1
"BADER, JOEL S",2019,1
"BADI, NEZHA",2018,1
"BADIEYAN, SOMAYESADAT",2017,1
"BADILLO-CORONA, JESUS A",2018,1
"BADILLO-CORONA, JESUS A",2019,1
"BADRAN, AHMED H",2020,1
"BADRI, ABINAYA",2017,1
"BAE, HANSOL",2018,2
"BAE, HEE-WON",2019,1
"BAE, JANG WON",2018,1
"BAE, JUHEE",2019,1
"BAE, JUYEOL",2020,1
"BAEBLER, Ãƒâ€¦Ã‚Â PELA",2017,1
"BAEK, CHANG-HO",2018,1
"BAEK, CHRISTINA KYUNG EUN",2018,1
"BAEK, JI IN",2019,1
"BAERMAN, ELLIOT A",2018,1
"BAETICA, ANIA-ARIADNA",2018,1
"BAETICA, ANIA-ARIADNA",2020,1
"BÃƒÆ’Ã‚Â¶SER, ALEXANDER",2016,1
"BÃƒÆ’Ã‚Â³DI, ZOLTÃƒÆ’Ã‚Â¡N",2016,1
"BAGERT, JOHN D",2019,1
"BAGH, SANGRAM",2016,1
